,City,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed,Lat,Lng
0,Kautokeino,71,NO,1577642706,87,25.32,4.5,69.01,23.04
1,Hithadhoo,85,MV,1577642707,76,82.94,6.24,-0.6,73.08
2,Puerto Ayora,75,EC,1577642709,69,80.6,6.93,-0.74,-90.35
3,San Patricio,0,PY,1577642710,23,104.72,3.87,-26.98,-56.83
4,Luis Moya,90,MX,1577642711,76,51.8,17.22,22.43,-102.25
5,Santiago de Cao,75,PE,1577642712,83,69.8,10.29,-7.96,-79.24
6,Bluff,10,AU,1577642714,81,69.71,9.48,-23.58,149.07
7,Santa Cruz del Sur,1,CU,1577642715,78,78.98,12.46,20.71,-78.0
8,Bethel,1,US,1577642716,74,-22.0,8.05,60.79,-161.76
9,Hambantota,1,LK,1577642717,74,79.25,20.31,6.12,81.12
10,Nikolskoye,75,RU,1577642718,79,28.0,6.71,59.7,30.79
11,Ushuaia,40,AR,1577642549,50,53.6,28.86,-54.81,-68.31
12,Kahului,40,US,1577642720,77,73.4,8.05,20.89,-156.47
13,Busselton,3,AU,1577642721,56,57.0,10.09,-33.64,115.35
14,Laguna,40,BZ,1577642723,74,80.6,6.93,16.17,-88.94
15,Mataura,92,NZ,1577642546,82,54.0,11.99,-46.19,168.86
16,Atar,0,MR,1577642725,9,76.89,11.99,20.52,-13.05
17,Quang Ngai,90,VN,1577642726,84,74.12,17.34,15.12,108.8
18,Hobart,58,AU,1577642727,82,60.8,6.93,-42.88,147.33
19,De Aar,69,ZA,1577642728,40,74.66,7.18,-30.65,24.01
20,Zhigansk,100,RU,1577642730,93,-28.52,22.35,66.77,123.37
21,Port Alfred,28,ZA,1577642731,94,69.01,15.59,-33.59,26.89
22,Cidreira,55,BR,1577642732,81,76.64,9.98,-30.17,-50.22
23,Albany,75,US,1577642733,56,41.0,1.57,42.65,-73.75
24,Buala,0,SB,1577642734,82,77.45,5.39,-8.15,159.59
25,Progreso,75,UY,1577642735,41,93.2,5.82,-34.68,-56.22
26,Rikitea,95,PF,1577642736,79,75.76,9.69,-23.12,-134.97
27,Vaini,7,IN,1577642738,78,66.79,4.14,15.34,74.49
28,Bridgetown,32,AU,1577642479,76,54.0,1.3,-33.96,116.14
29,Shatrovo,90,BG,1577642740,86,28.4,9.17,42.29,22.98
30,Jamestown,46,AU,1577642550,34,80.35,10.89,-33.21,138.6
31,Podporozhye,100,RU,1577642742,82,22.48,11.25,60.91,34.16
32,Seoul,90,KR,1577642688,64,41.0,3.36,37.57,126.98
33,Tasiilaq,40,GL,1577642744,58,24.8,3.36,65.61,-37.64
34,Yellowknife,75,CA,1577642726,75,-14.01,12.75,62.45,-114.38
